,timestamp,hours
278,2017-07-31 17:16:00,14.0
279,2017-07-31 17:24:00,5.25
280,2017-07-31 17:28:00,8.0
281,2017-07-31 18:11:00,6.0
282,2017-07-31 18:36:00,6.0
283,2017-07-31 19:05:00,4.25
284,2017-07-31 19:11:00,4.5
285,2017-07-31 19:13:00,4.75
286,2017-07-31 21:30:00,1.0
287,2017-07-31 23:29:00,6.0
288,2017-07-31 23:34:00,12.0
289,2017-08-01 01:56:00,3.0
290,2017-08-01 10:15:00,3.5
291,2017-08-01 16:23:00,5.5
292,2017-08-01 16:26:00,5.0
293,2017-08-01 17:28:00,5.5
294,2017-08-01 17:35:00,14.0
295,2017-08-01 17:43:00,8.0
296,2017-08-01 17:45:00,1.75
297,2017-08-01 19:30:00,11.0
298,2017-08-01 22:38:00,8.0
299,2017-08-02 01:43:00,4.0
300,2017-08-02 02:25:00,2.5
301,2017-08-02 02:26:00,2.0
302,2017-08-02 18:11:00,7.0
303,2017-08-02 18:44:00,8.0
304,2017-08-02 18:53:00,9.5
305,2017-08-02 19:12:00,7.5
306,2017-08-02 19:13:00,8.0
307,2017-08-02 19:24:00,8.5
308,2017-08-02 19:55:00,3.75
309,2017-08-02 20:13:00,9.0
310,2017-08-02 22:26:00,10.75
311,2017-08-03 02:18:00,7.25
312,2017-08-03 16:07:00,5.0
313,2017-08-03 17:24:00,4.0
314,2017-08-03 18:07:00,7.0
315,2017-08-03 18:39:00,10.0
316,2017-08-03 18:43:00,7.5
317,2017-08-03 18:56:00,12.75
318,2017-08-03 21:53:00,8.0
319,2017-08-03 22:09:00,4.75
320,2017-08-03 23:00:00,4.0
321,2017-08-04 00:33:00,1.5
322,2017-08-04 00:49:00,3.0
323,2017-08-04 15:16:00,7.0
324,2017-08-04 16:45:00,7.0
325,2017-08-04 17:11:00,8.25
326,2017-08-04 17:29:00,7.5
327,2017-08-04 17:41:00,7.25
328,2017-08-04 17:43:00,4.0
329,2017-08-04 17:55:00,4.5
330,2017-08-04 18:27:00,6.0
331,2017-08-04 18:54:00,15.0
332,2017-08-04 18:59:00,7.5
333,2017-08-04 20:03:00,8.0
334,2017-08-04 23:13:00,4.5
335,2017-08-05 08:05:00,1.5
336,2017-08-07 08:24:00,14.25
337,2017-08-07 16:46:00,6.5
338,2017-08-07 17:24:00,8.5
339,2017-08-07 18:04:00,8.5
340,2017-08-07 18:13:00,7.0
341,2017-08-07 18:18:00,5.0
342,2017-08-07 19:01:00,9.0
343,2017-08-07 19:13:00,7.75
344,2017-08-07 19:27:00,8.5
345,2017-08-07 19:30:00,17.5
346,2017-08-07 19:31:00,9.25
347,2017-08-07 20:00:00,4.0
348,2017-08-07 20:05:00,7.5
349,2017-08-08 01:37:00,5.5
350,2017-08-08 10:19:00,2.5
351,2017-08-08 15:45:00,6.0
352,2017-08-08 16:57:00,6.5
353,2017-08-08 18:33:00,6.0
354,2017-08-08 18:49:00,8.0
355,2017-08-08 18:58:00,6.25
356,2017-08-08 19:11:00,6.0
357,2017-08-08 19:13:00,4.0
358,2017-08-08 19:14:00,7.5
359,2017-08-08 19:27:00,9.25
360,2017-08-08 19:28:00,6.5
361,2017-08-08 19:49:00,7.0
362,2017-08-08 23:36:00,7.75
363,2017-08-09 16:36:00,7.0
364,2017-08-09 18:14:00,7.0
365,2017-08-09 18:22:00,7.0
366,2017-08-09 18:36:00,8.75
367,2017-08-09 19:21:00,9.5
368,2017-08-09 19:40:00,8.0
369,2017-08-09 19:44:00,7.0
370,2017-08-09 20:50:00,7.0
371,2017-08-09 21:59:00,8.0
372,2017-08-09 23:38:00,8.0
373,2017-08-10 00:02:00,1.5
374,2017-08-10 00:11:00,7.5
375,2017-08-10 00:40:00,2.0
376,2017-08-10 01:53:00,4.0
377,2017-08-10 01:59:00,3.0
378,2017-08-10 02:03:00,10.0
379,2017-08-10 17:06:00,4.0
380,2017-08-10 17:12:00,6.5
381,2017-08-10 17:55:00,0.5
382,2017-08-10 17:56:00,6.5
383,2017-08-10 18:35:00,6.5
384,2017-08-10 18:36:00,7.5
385,2017-08-10 18:38:00,4.0
386,2017-08-10 19:04:00,7.0
387,2017-08-10 19:08:00,7.0
388,2017-08-10 19:11:00,5.5
389,2017-08-10 22:43:00,12.5
390,2017-08-10 23:07:00,8.0
391,2017-08-11 00:40:00,1.0
392,2017-08-11 00:41:00,3.0
393,2017-08-11 03:49:00,3.5
394,2017-08-11 07:13:00,8.0
395,2017-08-11 15:52:00,6.0
396,2017-08-11 16:11:00,4.5
397,2017-08-11 16:34:00,6.5
398,2017-08-11 18:26:00,7.0
399,2017-08-11 18:48:00,7.0
400,2017-08-11 19:00:00,7.5
401,2017-08-11 19:07:00,15.0
402,2017-08-11 19:58:00,2.25
403,2017-08-11 20:04:00,8.0
404,2017-08-11 20:51:00,1.5
405,2017-08-11 22:02:00,0.5
406,2017-08-12 11:36:00,3.0
407,2017-08-12 12:15:00,3.0
408,2017-08-12 14:09:00,8.5
